MatchID,TeamID,OriginPlayerID,DestinationPlayerID,MatchPeriod,EventTime,EventSubType,EventOrigin_x,EventOrigin_y,EventDestination_x,EventDestination_y
1,Huskies,Huskies_D1,Huskies_F1,1H,46.32350099999999,Head pass,34,97,59.0,95.0
1,Huskies,Huskies_M1,Huskies_F2,1H,51.022546000000006,Simple pass,53,89,69.0,91.0
1,Huskies,Huskies_M2,Huskies_M3,1H,98.26519100000002,Simple pass,42,55,36.0,54.0
1,Huskies,Huskies_D1,Huskies_F1,1H,130.65652999999998,Head pass,34,91,52.0,97.0
1,Huskies,Huskies_D1,Huskies_G1,1H,161.22147,Simple pass,14,65,11.0,50.0
1,Huskies,Huskies_G1,Huskies_G1,1H,164.626056,Hand pass,11,50,5.0,45.0
1,Huskies,Huskies_D1,Huskies_D2,1H,247.46904899999998,Simple pass,17,92,22.0,62.0
1,Huskies,Huskies_D2,Huskies_D3,1H,249.694665,Simple pass,22,62,19.0,24.0
1,Huskies,Huskies_D3,Huskies_G1,1H,251.513079,Simple pass,19,24,8.0,45.0
1,Huskies,Huskies_G1,Huskies_D3,1H,257.295203,Simple pass,8,45,19.0,13.0
1,Huskies,Huskies_D3,Huskies_G1,1H,259.614989,Simple pass,19,13,12.0,38.0
1,Huskies,Huskies_D2,Huskies_D3,1H,286.49734,Simple pass,48,50,55.0,24.0
1,Huskies,Huskies_D3,Huskies_D4,1H,288.281009,Simple pass,55,24,60.0,5.0
1,Huskies,Huskies_D4,Huskies_D3,1H,291.122151,Simple pass,60,5,33.0,21.0
1,Huskies,Huskies_D3,Huskies_G1,1H,294.666496,Simple pass,33,21,15.0,70.0
1,Huskies,Huskies_G1,Huskies_F1,1H,298.519487,High pass,15,70,60.0,99.0
1,Huskies,Huskies_D1,Huskies_M3,1H,325.77882999999997,Simple pass,19,98,35.0,86.0
1,Huskies,Huskies_M3,Huskies_M1,1H,329.565823,Simple pass,35,86,30.0,97.0
1,Huskies,Huskies_M2,Huskies_D3,1H,349.65180499999997,Simple pass,47,59,47.0,27.0
1,Huskies,Huskies_D3,Huskies_M3,1H,352.602839,Simple pass,47,27,45.0,40.0
1,Huskies,Huskies_M3,Huskies_D3,1H,354.424746,Simple pass,45,40,47.0,12.0
1,Huskies,Huskies_G1,Huskies_D1,1H,390.709116,Hand pass,8,55,25.0,94.0
1,Huskies,Huskies_D1,Huskies_D2,1H,395.60980199999995,Simple pass,25,94,24.0,55.0
1,Huskies,Huskies_D2,Huskies_D3,1H,398.39209900000003,Simple pass,24,55,24.0,20.0
1,Huskies,Huskies_D3,Huskies_M2,1H,401.47368800000004,Simple pass,24,20,33.0,20.0
1,Huskies,Huskies_M2,Huskies_M3,1H,402.505899,Simple pass,33,20,33.0,35.0
1,Huskies,Huskies_M3,Huskies_D3,1H,403.23103000000003,Simple pass,33,35,24.0,24.0
1,Huskies,Huskies_D3,Huskies_D2,1H,405.513278,Simple pass,24,24,29.0,68.0
1,Huskies,Huskies_D2,Huskies_D1,1H,409.39515100000006,Simple pass,29,68,25.0,88.0
1,Huskies,Huskies_D1,Huskies_M1,1H,411.01268400000004,Simple pass,25,88,31.0,99.0
1,Huskies,Huskies_M1,Huskies_D1,1H,413.89920800000004,Simple pass,31,99,27.0,88.0
1,Huskies,Huskies_D1,Huskies_D2,1H,415.523873,Simple pass,27,88,29.0,53.0
1,Huskies,Huskies_D2,Huskies_D3,1H,417.77838099999997,Simple pass,29,53,37.0,14.0
1,Huskies,Huskies_D3,Huskies_M2,1H,421.153644,Simple pass,37,14,42.0,16.0
1,Huskies,Huskies_M2,Huskies_D2,1H,423.251583,Simple pass,42,16,36.0,54.0
1,Huskies,Huskies_D2,Huskies_D1,1H,426.777238,Simple pass,36,54,32.0,85.0
1,Huskies,Huskies_D1,Huskies_F2,1H,429.550573,Simple pass,32,85,59.0,67.0
1,Huskies,Huskies_M3,Huskies_D1,1H,470.526751,Simple pass,38,74,23.0,81.0
1,Huskies,Huskies_D1,Huskies_D2,1H,472.345004,Simple pass,23,81,33.0,56.0
1,Huskies,Huskies_D2,Huskies_D3,1H,475.81912,Simple pass,33,56,31.0,16.0
1,Huskies,Huskies_D3,Huskies_D2,1H,478.06325200000003,Simple pass,31,16,35.0,59.0
1,Huskies,Huskies_D2,Huskies_M3,1H,483.45968300000004,Simple pass,35,59,37.0,42.0
1,Huskies,Huskies_M3,Huskies_D2,1H,486.90414599999997,Simple pass,37,42,41.0,84.0
1,Huskies,Huskies_D2,Huskies_M1,1H,488.64204600000005,Simple pass,41,84,49.0,97.0
1,Huskies,Huskies_M1,Huskies_D1,1H,492.91364899999996,Simple pass,49,97,40.0,86.0
1,Huskies,Huskies_D1,Huskies_D2,1H,495.20349699999997,Simple pass,40,86,43.0,46.0
1,Huskies,Huskies_D2,Huskies_D3,1H,499.177369,Simple pass,43,46,44.0,13.0
1,Huskies,Huskies_D2,Huskies_F2,1H,634.315811,Simple pass,35,61,32.0,72.0
1,Huskies,Huskies_D1,Huskies_D3,1H,638.716336,Simple pass,20,67,22.0,37.0
1,Huskies,Huskies_D3,Huskies_M3,1H,644.849345,Simple pass,41,42,44.0,35.0
1,Huskies,Huskies_M3,Huskies_M2,1H,648.45343,Simple pass,44,35,58.0,25.0
1,Huskies,Huskies_M2,Huskies_M3,1H,648.788178,Simple pass,58,25,44.0,45.0
1,Huskies,Huskies_M3,Huskies_D1,1H,654.272547,Simple pass,44,45,45.0,88.0
1,Huskies,Huskies_D1,Huskies_M1,1H,656.786591,Simple pass,45,88,46.0,66.0
1,Huskies,Huskies_M1,Huskies_D2,1H,658.984182,Simple pass,46,66,35.0,53.0
1,Huskies,Huskies_D2,Huskies_D3,1H,660.927154,Simple pass,35,53,36.0,26.0
1,Huskies,Huskies_D3,Huskies_D4,1H,662.816659,Simple pass,36,26,44.0,9.0
1,Huskies,Huskies_D4,Huskies_D3,1H,664.192536,Simple pass,44,9,29.0,28.0
1,Huskies,Huskies_D3,Huskies_D1,1H,666.398299,Simple pass,29,28,30.0,88.0
1,Huskies,Huskies_D1,Huskies_M1,1H,670.794207,Simple pass,30,88,54.0,98.0
1,Huskies,Huskies_M1,Huskies_D1,1H,672.485389,Simple pass,54,98,40.0,88.0
1,Huskies,Huskies_D1,Huskies_D2,1H,677.030895,Simple pass,40,88,39.0,58.0
1,Huskies,Huskies_D2,Huskies_D3,1H,679.627443,Simple pass,39,58,42.0,22.0
1,Huskies,Huskies_D3,Huskies_D4,1H,681.346038,Simple pass,42,22,45.0,7.0
1,Huskies,Huskies_M2,Huskies_D4,1H,717.476578,Simple pass,88,10,94.0,5.0
1,Huskies,Huskies_D4,Huskies_M2,1H,719.441687,Simple pass,94,5,82.0,5.0
1,Huskies,Huskies_M3,Huskies_D3,1H,763.935874,Simple pass,31,4,26.0,15.0
1,Huskies,Huskies_D3,Huskies_D2,1H,766.375013,Simple pass,26,15,28.0,46.0
1,Huskies,Huskies_D2,Huskies_D1,1H,768.959506,Simple pass,28,46,27.0,75.0
1,Huskies,Huskies_M1,Huskies_F2,1H,831.334785,Simple pass,20,54,23.0,63.0
1,Huskies,Huskies_F2,Huskies_F1,1H,833.172272,Head pass,23,63,31.0,97.0
1,Huskies,Huskies_F3,Huskies_M2,1H,876.588559,Simple pass,41,13,37.0,25.0
1,Huskies,Huskies_M2,Huskies_F3,1H,877.617215,Simple pass,37,25,44.0,11.0
1,Huskies,Huskies_D3,Huskies_F3,1H,888.4075290000001,High pass,43,40,76.0,8.0
1,Huskies,Huskies_D1,Huskies_F3,1H,918.981968,Simple pass,29,79,54.0,51.0
1,Huskies,Huskies_D2,Huskies_D1,1H,940.1473020000001,Simple pass,28,49,27.0,80.0
1,Huskies,Huskies_M2,Huskies_D2,1H,977.6426839999999,Simple pass,36,73,27.0,85.0
1,Huskies,Huskies_D3,Huskies_G1,1H,1080.525643,Simple pass,15,18,13.0,45.0
1,Huskies,Huskies_G1,Huskies_M1,1H,1083.673768,High pass,13,45,39.0,97.0
1,Huskies,Huskies_M1,Huskies_D1,1H,1086.548868,Head pass,39,97,31.0,77.0
1,Huskies,Huskies_D1,Huskies_M3,1H,1088.3517,Simple pass,31,77,33.0,47.0
1,Huskies,Huskies_M3,Huskies_D3,1H,1092.134846,Simple pass,33,47,29.0,12.0
1,Huskies,Huskies_D3,Huskies_D4,1H,1098.1089,Simple pass,71,8,72.0,7.0
1,Huskies,Huskies_D3,Huskies_D1,1H,1114.347374,Simple pass,58,8,41.0,73.0
1,Huskies,Huskies_M3,Huskies_M1,1H,1124.056621,Simple pass,62,62,62.0,72.0
1,Huskies,Huskies_M1,Huskies_F2,1H,1128.904817,Simple pass,62,72,70.0,78.0
1,Huskies,Huskies_F2,Huskies_M1,1H,1129.81297,Simple pass,70,78,74.0,60.0
1,Huskies,Huskies_M1,Huskies_F1,1H,1145.628269,Simple pass,65,96,70.0,98.0
1,Huskies,Huskies_F1,Huskies_F2,1H,1148.496105,Simple pass,70,98,68.0,83.0
1,Huskies,Huskies_F2,Huskies_D3,1H,1150.556157,Simple pass,68,83,66.0,38.0
1,Huskies,Huskies_D3,Huskies_D4,1H,1154.053777,Simple pass,66,38,79.0,4.0
1,Huskies,Huskies_M2,Huskies_M1,1H,1184.199743,Simple pass,70,8,65.0,61.0
1,Huskies,Huskies_M3,Huskies_D4,1H,1234.888756,Simple pass,28,19,19.0,5.0
1,Huskies,Huskies_D4,Huskies_D2,1H,1237.056443,Simple pass,19,5,21.0,39.0
1,Huskies,Huskies_D2,Huskies_D1,1H,1240.195071,Simple pass,21,39,27.0,76.0
1,Huskies,Huskies_D1,Huskies_M1,1H,1243.277878,Simple pass,27,76,40.0,96.0
1,Huskies,Huskies_M1,Huskies_F1,1H,1246.983038,High pass,40,96,74.0,98.0
1,Huskies,Huskies_M2,Huskies_G1,1H,1285.762328,Head pass,29,52,12.0,43.0
1,Huskies,Huskies_G1,Huskies_M1,1H,1299.229819,High pass,12,43,44.0,81.0
1,Huskies,Huskies_M1,Huskies_F2,1H,1304.927402,Simple pass,44,81,49.0,75.0
1,Huskies,Huskies_F2,Huskies_D1,1H,1306.588143,Simple pass,49,75,34.0,80.0
