,defensive_vulnerability,regression_fit1,shotsAllowedVal,algebraic_connectivity,network_strength_eigen_value,diadic_sum,triad_sum,complete_triad_sum,weighted_statistics,weighted_offensive_statistics,weighted_defensive_statistics
0,3.353628292190914,3.353628292190914,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
1,2.561552812808831,52.561552812808834,0.0,4.616066632853337,4.658373985536889,50,3,0,16.800000000000004,8.400000000000002,8.400000000000002
2,2.9999999999999996,55.0,0.0,4.6533119314590365,2.9999999999999987,52,1,0,11.200000000000001,5.6000000000000005,5.6000000000000005
3,-1.9999999999999996,26.0,0.0,0.0,2.0000000000000004,28,0,0,6.6,3.8000000000000003,2.8
4,0.0,0.0,0.0,1.9191106897609143,1.6180339887498942,0,0,0,4.199999999999999,2.0999999999999996,2.0999999999999996
5,-1.9999999999999996,-1.9999999999999996,0.0,4.236067977499793,2.1149075414767586,0,0,0,9.8,4.9,4.9
6,0.0,24.0,0.0,4.254290366761984,3.6051983875237097,24,0,0,15.400000000000002,7.700000000000001,7.700000000000001
7,0.0,0.0,0.0,0.5151380471280704,1.414213562373095,0,0,0,5.6,2.8,2.8
8,0.0,25.0,0.0,4.6052280489417035,3.0468469358303185,25,0,0,14.000000000000002,7.000000000000001,7.000000000000001
9,3.3401729732520677,3.3401729732520677,0.0,1.9191106897609143,1.6180339887498942,0,0,0,5.6,2.8,2.8
10,0.0,125.0,0.0,5.727276284385325,6.7235960907370504,125,5,0,32.19999999999999,16.099999999999994,16.099999999999994
11,1.5615528128088314,26.56155281280883,0.0,4.96326102475639,2.840682984244965,25,1,0,19.6,9.8,9.8
12,2.9999999999999996,2.9999999999999996,0.0,0.0,0.0,0,0,0,0.1,0.0,0.1
13,0.0,0.0,0.0,1.9191106897609143,1.6180339887498942,0,0,0,8.4,4.2,4.2
14,1.5615528128088303,27.56155281280883,0.0,3.0000000000000018,2.4494897427831774,26,0,0,11.3,6.4,4.9
15,2.0000000000000004,2.0000000000000004,0.0,2.9999999999999996,2.170086486626032,0,1,0,8.4,4.2,4.2
16,2.624407265423537,2.624407265423537,0.0,1.9191106897609143,1.6180339887498933,0,0,0,5.6,2.8,2.8
17,2.999999999999999,2.999999999999999,0.0,0.0,1.0,0,0,0,2.8,1.4,1.4
18,3.6764157188134057,3.6764157188134057,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
19,2.999999999999999,-30.445866551074644,-33.445866551074644,1.919110689760912,1.6180339887498942,0,0,0,7.4,4.2,3.2
20,0.49274902921175157,53.49274902921175,0.0,4.396875553873786,3.460867324783102,53,1,0,8.4,4.2,4.2
21,0.0,0.0,0.0,1.9191106897609138,1.6180339887498938,0,0,0,6.1,3.3000000000000003,2.8
22,4.479518188265937,4.479518188265937,0.0,0.5151380471280699,1.414213562373095,0,0,0,4.8,2.6,2.1999999999999997
23,4.536113072131263,4.536113072131263,0.0,3.0000000000000013,2.170086486626034,0,1,0,18.200000000000003,9.100000000000001,9.100000000000001
24,1.5615528128088296,1.5615528128088296,0.0,0.0,1.0,0,0,0,2.9,1.4,1.5
25,3.2014723382192365,-87.32114981627075,-90.52262215448998,0.0,0.0,0,0,0,-1.0,0.0,-1.0
26,5.090833734506697,5.090833734506697,0.0,0.0,0.0,0,0,0,2.9,1.4,1.5
27,0.0,0.0,0.0,0.0,1.0,0,0,0,4.199999999999999,2.0999999999999996,2.0999999999999996
28,9.072196838466564,9.072196838466564,0.0,0.5151380471280699,1.414213562373095,0,0,0,5.699999999999999,2.8,2.9
29,2.0000000000000004,2.0000000000000004,0.0,0.0,1.0,0,0,0,9.9,4.9,5.0
30,-1.9999999999999996,-1.9999999999999996,0.0,0.0,1.0,0,0,0,4.299999999999999,2.0999999999999996,2.1999999999999997
31,4.3443259330944315,4.3443259330944315,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
32,0.0,54.0,0.0,0.9999999999999996,2.82842712474619,54,1,0,8.4,4.2,4.2
33,-1.9999999999999996,-1.9999999999999996,0.0,0.0,1.0,0,0,0,1.5,0.7,0.8
