,ground_truth,ground_truth_offense,ground_truth_defense,shotsAllowedVal,shotsTakenVal,flowEV,tempoEV,defensive_damage,network_strength_eigen_value,algebraic_connectivity,complete_triad_sum,triad_sum,diadic_sum
0,2.5000000000000004,0.0,2.5000000000000004,0.0,0.0,7.827577896960003,30.07083499999993,1.0,1.414213562373095,0.5151380471280699,0,0,0
1,0.0,0.0,0.0,0.0,0.0,5.898240000000002,0.0,1.0,0.0,0.0,0,0,0
2,1.5000000000000002,0.0,1.5000000000000002,0.0,0.0,10.19215872,19.010005000000092,0.0,1.414213562373095,0.5151380471280699,0,0,0
3,2.5000000000000004,0.0,2.5000000000000004,0.0,0.0,12.7401984,0.0,0.5857864376269051,1.0,0.0,0,0,0
4,0.0,0.0,0.0,0.0,0.0,1.424967069597697,0.0,0.0,0.0,0.0,0,0,0
5,4.5,1.0,3.5000000000000004,0.0,60.608550820627556,7.977991631898015,28.920258000000103,0.0,1.9318516525781357,3.759188254119522,0,0,0
6,0.0,0.0,0.0,0.0,0.0,5.89824,0.0,0.0,0.0,0.0,0,0,0
7,1.5000000000000002,0.0,1.5000000000000002,0.0,0.0,13.271040000000001,60.243820000000596,0.0,1.0,0.0,0,0,0
8,0.0,0.0,0.0,24.43143659224529,0.0,3.3397665693696017,0.0,0.0,0.0,0.0,0,0,0
9,1.5,0.5,1.0,0.0,0.0,13.271040000000001,0.0,0.5857864376269052,0.0,0.0,0,0,0
10,3.0000000000000004,0.0,3.0000000000000004,0.0,0.0,22.0150628352,14.641796666666476,0.0,1.9999999999999993,2.9999999999999996,0,1,0
11,0.5,0.0,0.5,0.0,0.0,7.077888,0.0,2.0,2.0,0.0,0,0,0
12,0.5,0.0,0.5,0.0,0.0,5.662310400000001,25.693529999998646,0.9999999999999996,1.0,0.0,0,0,0
13,2.0,1.0,1.0,0.0,55.40442879149248,10.616832,31.554659999997625,2.0,1.0,0.0,0,0,0
14,2.5000000000000004,0.0,2.5000000000000004,0.0,0.0,15.288238080000001,13.62779499999931,0.0,2.414213562373095,0.0,0,0,0
15,3.5000000000000004,0.0,3.5000000000000004,33.39555612080764,0.0,4.084731715531785,3.831224999998426,0.0,1.0,2.5615528128088303,0,0,0
16,0.5,0.0,0.5,0.0,0.0,7.077888,0.0,0.0,0.0,0.0,0,0,0
17,2.0000000000000004,0.0,2.0000000000000004,0.0,0.0,15.925247999999998,29.943759999996473,0.0,1.0,0.0,0,0,0
18,1.0,0.0,1.0,0.0,0.0,6.794772480000003,35.677320000008876,4.0,1.0,0.0,0,0,0
19,3.0000000000000004,0.5,2.5000000000000004,0.0,0.0,9.393093476352,22.825969999987592,0.0,1.0,0.0,0,0,0
20,3.0000000000000004,0.5,2.5000000000000004,53.62378712730878,0.0,1.7428188652935626,3.968269999995755,0.0,1.0,0.0,0,0,0
21,0.0,0.0,0.0,0.0,0.0,4.529848320000002,0.0,0.0,0.0,0.0,0,0,0
22,0.0,0.0,0.0,0.0,0.0,10.616832,0.0,0.2679491924311228,0.0,0.0,0,0,0
23,1.0,0.0,1.0,0.0,0.0,1.5758995816094854,0.0,0.2603226902583545,0.0,0.0,0,0,0
24,0.0,0.0,0.0,0.0,0.0,4.529848320000001,0.0,0.0,0.0,0.0,0,0,0
25,0.0,0.0,0.0,0.0,0.0,3.7748736000000003,0.0,2.0,0.0,0.0,0,0,0
26,4.0,0.5,3.5000000000000004,0.0,0.0,3.9213424469105136,30.220590000005053,0.26302521079705177,2.0000000000000004,2.5615528128088303,0,0,28
27,2.5000000000000004,0.0,2.5000000000000004,0.0,0.0,19.110297599999996,12.393980000001648,0.0,1.414213562373095,0.5151380471280705,0,0,0
28,0.0,0.0,0.0,0.0,0.0,7.077888000000002,0.0,1.0000000000000002,0.0,0.0,0,0,0
