,ground_truth,ground_truth_offense,ground_truth_defense,shotsAllowedVal,shotsTakenVal,flowEV,tempoEV,complete_triad_sum,triad_sum,diadic_sum,network_strength_eigen_value,algebraic_connectivity,defensive_damage,defensive_damage2,defensive_damage3,defensive_damage4,defensive_damage5
0,8.4,4.2,4.2,0.0,0,29.85984,34.23505399999999,0,0,15,2.4972120409568324,3.3769556764095365,0.0,3.0438558014503876,0.0,0.33309987495914817,0.0
1,5.6,2.8,2.8,0.0,0,1.7099604835172362,27.094697499999967,0,0,0,1.7320508075688785,2.7946690411990267,0.0,0.0,0.7398002333567066,0.0,2.054868807842322
2,5.699999999999999,2.8,2.9,0.0,0,4.174708211712002,22.77787999999987,0,1,0,1.9999999999999993,2.9999999999999996,0.0,0.0,1.9999999999999978,0.0,1.0000000000000018
3,-1.0,0.0,-1.0,41.31004967073722,0,3.019898880000001,0.0,0,0,0,0.0,0.0,5.857864376269052,0.0,0.0,0.0,0.0
4,2.8,1.4,1.4,0.0,0,5.89824,0.0,0,0,0,0.0,0.0,0.0,0.585786437626905,0.5857864376269053,0.5857864376269049,0.5857864376269051
5,0.0,0.0,0.0,0.0,0,2.013265920000001,0.0,0,0,0,0.0,0.0,20.0,0.38196601125010565,0.3819660112501054,0.3819660112501054,0.3819660112501052
6,0.0,0.0,0.0,0.0,0,1.2369505812480008,0.0,0,0,0,0.0,0.0,20.0,0.40407269334103724,0.40407269334103746,0.40407269334103757,0.4040726933410381
7,0.0,0.0,0.0,0.0,0,3.9321600000000014,0.0,0,0,0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0,1.0737418240000005,0.0,0,0,0,0.0,0.0,0.0,0.8217298942148579,0.8217298942148589,0.8217298942148572,0.8217298942148569
9,9.8,4.9,4.9,0.0,0,17.61205026816,31.233385000000453,0,0,0,2.481194304092015,3.5227662580381893,20.0,0.0,0.0,0.0,0.0
10,1.4,0.7,0.7,0.0,0,0.0979229913887851,0.0,0,0,0,0.0,0.0,20.0,0.8884291481149693,0.8884291481149713,0.8884291481149665,0.8884291481149695
11,7.600000000000001,4.000000000000001,3.6,0.0,0,1.05059972107299,32.71706666666736,0,0,0,1.6180339887498942,1.9191106897609143,20.0,0.0,0.0,0.0,0.0
12,7.500000000000001,4.000000000000001,3.5,0.0,0,19.90656,41.81996750000053,0,1,0,2.170086486626033,3.0000000000000044,0.0,2.000000000000004,0.0,1.0000000000000002,0.0
13,0.0,0.0,0.0,0.0,0,2.5165824000000008,0.0,0,0,0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
