GameName,GroundTruth,clearVal,shotsAllowedVal,shotsEV,flowEV,tempoEV,breadthEV,evan_call_this_for_eigs,algebraic_connectivity,wrapper,triad_sum,diadic_sum,
play0000H,0.0,0,0,0,2.293235712,2.4402226666666706,13,2.7784571182583884,3.0000000000000004,0.45497494593122034,1,25,
play0001O,0.0,0,0,0,0.2621440000000001,0,0,0.0,0.0,0,0,0,
play0002H,0.0,0,0,0,5.706304286883839,2.979263818181819,12,4.658373985536889,4.616066632853337,0.7643665286117378,3,50,
play0003O,0.0,0,0,0,0.3145728000000001,0,9,0.0,0.0,0,0,0,
play0004O,0.0,-0.5711901120649117,0,0,0.2137450604396545,0,12,1.0,0.0,2.0,0,0,
play0005H,0.0,0,0,0,8.217078173112727,2.70699984615384,13,4.596184620124534,6.24542393400571,0.2511255890552226,1,51,
play0006H,1.0,0,0,10,2.2932357119999995,1.7264864999999645,13,2.0000000000000004,0.0,2.0,0,28,
play0007O,0.0,0,0,0,0.5898240000000002,0,10,0.0,0.0,0,0,0,
play0008O,0.0,0,0,0,0.07295831396340208,0,13,0.0,0.0,0,0,0,
play0009H,0.0,0,0,0,4.1278242816,2.619590499999987,13,2.1149075414767586,4.236067977499793,0.4549749459312209,0,0,
play0010H,0.0,0,0,0,2.641807540224,2.7135456666666187,14,2.236067977499789,2.5615528128088303,0.0,0,27,
play0011H,0.0,0,0,0,1.91102976,2.7608752499999696,14,1.7320508075688779,2.7946690411990276,0.29289321881345237,0,0,
play0012O,0.0,0,0,0,0.7077888000000001,0,11,1.0,0.0,2.0,0,0,
play0013H,0.0,0,0,0,6.847565144260607,3.4895127,14,3.6147672053639175,4.282414837136288,0.2753173176134456,0,24,
play0014H,0.5,0,0,0,36.804095927495744,2.7922890499999995,14,5.080582237492458,7.518571026859898,0.22990000562121615,4,123,
play0015O,0.0,0,0,0,0.7077888000000002,1.3408269999999902,10,0.0,0.0,0,0,0,
play0016O,0.0,0,0,0,0.589824,0,10,0.0,0.0,0,0,0,
