MatchID,TeamID,GroundTruth
game01_1H,Huskies,518.1999999999964
game01_2H,Huskies,493.0999999999972
game02_1H,Huskies,302.7
game02_2H,Huskies,304.59999999999997
game03_1H,Huskies,456.4999999999974
game03_2H,Huskies,337.5999999999995
game04_1H,Huskies,430.299999999998
game04_2H,Huskies,474.99999999999727
game05_1H,Huskies,479.19999999999726
game05_2H,Huskies,493.89999999999714
game06_1H,Huskies,508.299999999997
game06_2H,Huskies,454.0999999999975
game07_1H,Huskies,549.9999999999966
game07_2H,Huskies,624.299999999995
game08_1H,Huskies,530.9999999999966
game08_2H,Huskies,433.79999999999814
game09_1H,Huskies,276.8000000000003
game09_2H,Huskies,290.90000000000015
game10_1H,Huskies,488.6999999999972
game10_2H,Huskies,499.199999999997
game11_1H,Huskies,390.49999999999864
game11_2H,Huskies,300.89999999999986
game12_1H,Huskies,270.00000000000045
game12_2H,Huskies,276.0000000000005
game13_1H,Huskies,288.2000000000002
game13_2H,Huskies,335.49999999999943
game14_1H,Huskies,473.9999999999974
game14_2H,Huskies,377.09999999999866
game15_1H,Huskies,358.29999999999893
game15_2H,Huskies,510.8999999999973
game16_1H,Huskies,199.80000000000047
game16_2H,Huskies,221.10000000000048
game17_1H,Huskies,481.199999999997
game17_2H,Huskies,376.8999999999987
game18_1H,Huskies,477.09999999999707
game18_2H,Huskies,367.7999999999991
game19_1H,Huskies,368.199999999999
game19_2H,Huskies,330.0999999999995
game20_1H,Huskies,410.89999999999816
game20_2H,Huskies,337.8999999999993
game21_1H,Huskies,554.0999999999963
game21_2H,Huskies,420.19999999999834
game22_1H,Huskies,448.7999999999977
game22_2H,Huskies,321.1999999999996
game23_1H,Huskies,391.89999999999884
game23_2H,Huskies,384.2999999999987
game24_1H,Huskies,508.49999999999693
game24_2H,Huskies,546.1999999999963
game25_1H,Huskies,418.19999999999806
game25_2H,Huskies,367.69999999999897
game26_1H,Huskies,328.49999999999955
game26_2H,Huskies,489.8999999999975
game27_1H,Huskies,509.799999999997
game27_2H,Huskies,346.99999999999955
game28_1H,Huskies,438.799999999998
game28_2H,Huskies,390.5999999999985
game29_1H,Huskies,348.99999999999915
game29_2H,Huskies,436.1999999999978
game30_1H,Huskies,547.5999999999963
game30_2H,Huskies,389.0999999999989
game31_1H,Huskies,470.0999999999973
game31_2H,Huskies,529.699999999997
game32_1H,Huskies,162.8000000000003
game32_2H,Huskies,232.80000000000058
game33_1H,Huskies,325.99999999999966
game33_2H,Huskies,413.1999999999982
game34_1H,Huskies,449.2999999999977
game34_2H,Huskies,386.59999999999854
game35_1H,Huskies,649.2999999999948
game35_2H,Huskies,337.7999999999994
game36_1H,Huskies,528.7999999999963
game36_2H,Huskies,426.49999999999875
game37_1H,Huskies,384.6999999999987
game37_2H,Huskies,527.6999999999966
game38_1H,Huskies,342.7999999999994
