MatchID,TeamID,GroundTruth
game01_1H,Huskies,258.6999999999983
game01_2H,Huskies,239.3999999999986
game02_1H,Huskies,159.09999999999988
game02_2H,Huskies,142.30000000000013
game03_1H,Huskies,233.49999999999866
game03_2H,Huskies,167.19999999999976
game04_1H,Huskies,208.69999999999908
game04_2H,Huskies,235.69999999999865
game05_1H,Huskies,232.8999999999987
game05_2H,Huskies,233.4999999999987
game06_1H,Huskies,239.59999999999863
game06_2H,Huskies,202.29999999999922
game07_1H,Huskies,263.3999999999983
game07_2H,Huskies,319.9999999999974
game08_1H,Huskies,255.79999999999833
game08_2H,Huskies,210.69999999999908
game09_1H,Huskies,138.30000000000018
game09_2H,Huskies,149.10000000000002
game10_1H,Huskies,235.39999999999864
game10_2H,Huskies,247.3999999999985
game11_1H,Huskies,178.99999999999955
game11_2H,Huskies,146.80000000000004
game12_1H,Huskies,139.40000000000018
game12_2H,Huskies,139.7000000000002
game13_1H,Huskies,148.9
game13_2H,Huskies,173.59999999999962
game14_1H,Huskies,228.99999999999875
game14_2H,Huskies,193.89999999999932
game15_1H,Huskies,165.89999999999975
game15_2H,Huskies,224.39999999999887
game16_1H,Huskies,90.60000000000022
game16_2H,Huskies,106.50000000000027
game17_1H,Huskies,241.19999999999854
game17_2H,Huskies,192.49999999999935
game18_1H,Huskies,238.89999999999856
game18_2H,Huskies,178.29999999999959
game19_1H,Huskies,171.7999999999997
game19_2H,Huskies,167.09999999999974
game20_1H,Huskies,205.6999999999991
game20_2H,Huskies,170.3999999999997
game21_1H,Huskies,263.19999999999817
game21_2H,Huskies,198.79999999999927
game22_1H,Huskies,229.89999999999878
game22_2H,Huskies,165.09999999999977
game23_1H,Huskies,182.19999999999948
game23_2H,Huskies,184.4999999999995
game24_1H,Huskies,244.19999999999848
game24_2H,Huskies,257.29999999999836
game25_1H,Huskies,195.59999999999926
game25_2H,Huskies,172.09999999999965
game26_1H,Huskies,167.99999999999972
game26_2H,Huskies,227.99999999999883
game27_1H,Huskies,246.49999999999847
game27_2H,Huskies,170.5999999999997
game28_1H,Huskies,207.9999999999991
game28_2H,Huskies,198.49999999999926
game29_1H,Huskies,172.99999999999963
game29_2H,Huskies,222.99999999999886
game30_1H,Huskies,262.89999999999833
game30_2H,Huskies,185.59999999999945
game31_1H,Huskies,224.79999999999885
game31_2H,Huskies,241.59999999999866
game32_1H,Huskies,79.90000000000015
game32_2H,Huskies,121.50000000000033
game33_1H,Huskies,168.59999999999974
game33_2H,Huskies,195.99999999999926
game34_1H,Huskies,221.89999999999887
game34_2H,Huskies,195.1999999999993
game35_1H,Huskies,311.79999999999745
game35_2H,Huskies,162.09999999999985
game36_1H,Huskies,254.6999999999983
game36_2H,Huskies,181.09999999999954
game37_1H,Huskies,192.49999999999935
game37_2H,Huskies,260.0999999999983
game38_1H,Huskies,158.69999999999987
