1,Opponent1,Opponent1_M3,Opponent1_F3,1H,520.306956,Pass,Smart pass,57.0,86.0,99.0,72.0
1,Opponent1,Opponent1_F2,Opponent1_M2,1H,614.115182,Pass,Smart pass,67.0,14.0,90.0,7.0
1,Huskies,Huskies_F2,,1H,1759.910812,Pass,Smart pass,63.0,87.0,99.0,74.0
1,Opponent1,Opponent1_D3,Opponent1_F3,1H,2288.089607,Pass,Smart pass,59.0,88.0,80.0,82.0
1,Huskies,Huskies_F2,Huskies_F1,2H,504.40397200000007,Pass,Smart pass,56.0,68.0,89.0,63.0
1,Huskies,Huskies_F2,Huskies_F1,2H,1021.4130100000002,Pass,Smart pass,40.0,38.0,93.0,27.0
1,Opponent1,Opponent1_M2,,2H,1721.2560059999996,Pass,Smart pass,77.0,50.0,74.0,48.0
1,Huskies,Huskies_F2,,2H,2121.851909,Pass,Smart pass,35.0,30.0,96.0,57.0
1,Opponent1,Opponent1_F5,,2H,2240.900804,Pass,Smart pass,56.0,46.0,79.0,47.0
2,Opponent2,Opponent2_D2,,1H,217.11642799999998,Pass,Smart pass,60.0,19.0,76.0,29.0
2,Opponent2,Opponent2_D1,,1H,388.818865,Pass,Smart pass,66.0,77.0,0.0,0.0
2,Opponent2,Opponent2_F1,,1H,597.833814,Pass,Smart pass,61.0,24.0,83.0,57.0
2,Opponent2,Opponent2_M2,,1H,873.077701,Pass,Smart pass,64.0,53.0,80.0,65.0
2,Opponent2,Opponent2_M1,Opponent2_M3,1H,1203.230117,Pass,Smart pass,58.0,20.0,86.0,25.0
2,Opponent2,Opponent2_M2,,1H,1311.772884,Pass,Smart pass,70.0,31.0,94.0,32.0
2,Opponent2,Opponent2_F2,Opponent2_M2,1H,2022.2516540000001,Pass,Smart pass,72.0,58.0,91.0,38.0
2,Opponent2,Opponent2_M4,,1H,2184.853523,Pass,Smart pass,74.0,47.0,89.0,33.0
2,Opponent2,Opponent2_M4,Opponent2_F1,1H,2393.027729,Pass,Smart pass,70.0,30.0,88.0,37.0
2,Opponent2,Opponent2_M4,,2H,473.0151030000002,Pass,Smart pass,68.0,18.0,81.0,10.0
2,Huskies,Huskies_F2,,2H,640.8756389999999,Pass,Smart pass,64.0,20.0,79.0,50.0
2,Huskies,Huskies_D3,,2H,970.0962300000001,Pass,Smart pass,38.0,44.0,88.0,57.0
2,Huskies,Huskies_M1,,2H,1682.5462850000004,Pass,Smart pass,44.0,56.0,76.0,65.0
2,Opponent2,Opponent2_F3,Opponent2_D5,2H,1900.5420789999998,Pass,Smart pass,77.0,88.0,93.0,67.0
2,Opponent2,Opponent2_F3,Opponent2_M2,2H,2055.835824,Pass,Smart pass,89.0,14.0,90.0,27.0
2,Opponent2,Opponent2_M5,,2H,2830.716399,Pass,Smart pass,73.0,69.0,96.0,73.0
2,Opponent2,Opponent2_M5,,2H,2867.7882090000003,Pass,Smart pass,77.0,59.0,95.0,39.0
3,Opponent3,Opponent3_F2,,1H,233.49192699999998,Pass,Smart pass,72.0,27.0,79.0,30.0
3,Opponent3,Opponent3_D3,,1H,400.32189900000003,Pass,Smart pass,64.0,29.0,88.0,47.0
3,Opponent3,Opponent3_F1,Opponent3_F2,1H,575.228621,Pass,Smart pass,88.0,71.0,88.0,41.0
3,Opponent3,Opponent3_M4,Opponent3_M1,1H,1577.708743,Pass,Smart pass,93.0,90.0,82.0,69.0
3,Opponent3,Opponent3_F1,,1H,1580.889332,Pass,Smart pass,82.0,52.0,88.0,59.0
3,Opponent3,Opponent3_M3,,1H,1704.20002,Pass,Smart pass,70.0,29.0,78.0,44.0
3,Opponent3,Opponent3_M4,Opponent3_M3,1H,2359.435386,Pass,Smart pass,85.0,52.0,45.0,30.0
3,Opponent3,Opponent3_M4,Opponent3_F2,2H,55.45133299999998,Pass,Smart pass,73.0,39.0,82.0,22.0
3,Opponent3,Opponent3_M3,,2H,85.00326799999993,Pass,Smart pass,75.0,15.0,92.0,30.0
3,Huskies,Huskies_M1,,2H,544.547122,Pass,Smart pass,70.0,78.0,92.0,82.0
3,Opponent3,Opponent3_M4,,2H,629.2126010000002,Pass,Smart pass,70.0,32.0,93.0,28.0
3,Opponent3,Opponent3_M4,Opponent3_D4,2H,1120.2216449999996,Pass,Smart pass,61.0,13.0,87.0,2.0
3,Opponent3,Opponent3_D3,,2H,1478.271315,Pass,Smart pass,50.0,53.0,87.0,100.0
3,Huskies,Huskies_M6,,2H,1586.1937589999998,Pass,Smart pass,72.0,41.0,96.0,62.0
3,Opponent3,Opponent3_M3,,2H,2081.223855,Pass,Smart pass,80.0,64.0,89.0,58.0
3,Opponent3,Opponent3_M1,,2H,2777.0854870000003,Pass,Smart pass,62.0,46.0,89.0,29.0
4,Huskies,Huskies_F2,Huskies_D5,1H,353.538035,Pass,Smart pass,68.0,71.0,93.0,77.0
4,Opponent4,Opponent4_M2,,1H,1121.441553,Pass,Smart pass,66.0,46.0,88.0,50.0
4,Opponent4,Opponent4_M3,,1H,1431.863232,Pass,Smart pass,70.0,44.0,89.0,36.0
4,Huskies,Huskies_D1,,1H,1471.989002,Pass,Smart pass,38.0,69.0,87.0,58.0
4,Huskies,Huskies_F3,,1H,1911.292452,Pass,Smart pass,71.0,76.0,77.0,70.0
4,Opponent4,Opponent4_M1,Opponent4_M2,1H,2230.90009,Pass,Smart pass,58.0,68.0,70.0,88.0
4,Opponent4,Opponent4_M4,,1H,2586.214768,Pass,Smart pass,79.0,51.0,87.0,54.0
4,Opponent4,Opponent4_M1,,2H,121.56762200000003,Pass,Smart pass,96.0,30.0,89.0,33.0
4,Opponent4,Opponent4_D4,Opponent4_M2,2H,301.327769,Pass,Smart pass,87.0,96.0,93.0,75.0
4,Opponent4,Opponent4_F1,Opponent4_M1,2H,429.9648480000001,Pass,Smart pass,75.0,47.0,92.0,56.0
4,Opponent4,Opponent4_M1,Opponent4_M4,2H,480.2227590000002,Pass,Smart pass,78.0,79.0,95.0,68.0
4,Opponent4,Opponent4_M4,,2H,564.4157319999999,Pass,Smart pass,70.0,33.0,87.0,30.0
4,Opponent4,Opponent4_D4,Opponent4_F1,2H,979.3239899999999,Pass,Smart pass,76.0,92.0,91.0,75.0
4,Opponent4,Opponent4_D4,,2H,1204.5194510000001,Pass,Smart pass,70.0,97.0,70.0,87.0
4,Huskies,Huskies_F2,Huskies_D5,2H,1212.472296,Pass,Smart pass,47.0,40.0,72.0,82.0
4,Huskies,Huskies_M6,Huskies_D4,2H,2721.257705,Pass,Smart pass,77.0,32.0,97.0,26.0
5,Opponent5,Opponent5_D2,Opponent5_F1,1H,557.286736,Pass,Smart pass,61.0,96.0,48.0,49.0
5,Opponent5,Opponent5_M3,Opponent5_F1,1H,1170.999495,Pass,Smart pass,59.0,27.0,95.0,28.0
5,Huskies,Huskies_F2,,1H,1681.953232,Pass,Smart pass,74.0,66.0,77.0,70.0
5,Huskies,Huskies_M6,Huskies_D5,1H,1843.8262759999998,Pass,Smart pass,76.0,72.0,93.0,73.0
5,Opponent5,Opponent5_M3,,1H,2081.250695,Pass,Smart pass,58.0,40.0,84.0,11.0
5,Opponent5,Opponent5_M3,,1H,2130.096054,Pass,Smart pass,78.0,47.0,80.0,42.0
5,Opponent5,Opponent5_F2,Opponent5_F1,1H,2263.922812,Pass,Smart pass,75.0,35.0,44.0,21.0
5,Opponent5,Opponent5_D3,,1H,2664.685801,Pass,Smart pass,42.0,21.0,76.0,15.0
5,Huskies,Huskies_D2,Huskies_M4,2H,412.86092499999995,Pass,Smart pass,21.0,66.0,44.0,73.0
5,Huskies,Huskies_D5,,2H,1267.3232079999998,Pass,Smart pass,59.0,96.0,69.0,91.0
5,Huskies,Huskies_F2,,2H,1541.4924190000002,Pass,Smart pass,77.0,44.0,84.0,57.0
5,Huskies,Huskies_F2,,2H,2021.1975329999996,Pass,Smart pass,45.0,88.0,64.0,82.0
5,Opponent5,Opponent5_F1,Opponent5_M5,2H,2384.072951,Pass,Smart pass,75.0,28.0,95.0,25.0
6,Opponent6,Opponent6_F2,Opponent6_F1,1H,473.912021,Pass,Smart pass,69.0,71.0,90.0,54.0
6,Huskies,Huskies_M2,Huskies_D5,1H,873.8087390000001,Pass,Smart pass,68.0,64.0,98.0,95.0
