1,Huskies,Huskies_F1,,1H,134.60395799999998,Duel,Ground defending duel,52.0,97.0,47.0,100.0
1,Huskies,Huskies_D1,,1H,190.32950899999997,Duel,Ground defending duel,32.0,90.0,25.0,100.0
1,Opponent1,Opponent1_M1,,1H,203.34465899999998,Duel,Ground defending duel,61.0,5.0,56.0,5.0
1,Huskies,Huskies_F2,,1H,206.59909,Duel,Ground defending duel,44.0,95.0,44.0,94.0
1,Huskies,Huskies_M1,,1H,323.96580900000004,Duel,Ground defending duel,30.0,95.0,19.0,98.0
1,Huskies,Huskies_F1,,1H,619.152379,Duel,Ground defending duel,10.0,93.0,7.0,93.0
1,Opponent1,Opponent1_M2,,1H,621.482191,Duel,Ground defending duel,93.0,7.0,94.0,16.0
1,Huskies,Huskies_D2,,1H,636.694376,Duel,Ground defending duel,29.0,68.0,20.0,67.0
1,Opponent1,Opponent1_D4,,1H,724.435673,Duel,Ground defending duel,16.0,70.0,17.0,55.0
1,Huskies,Huskies_D1,,1H,793.285266,Duel,Ground defending duel,56.0,87.0,44.0,88.0
1,Huskies,Huskies_F1,,1H,837.61869,Duel,Ground defending duel,32.0,88.0,33.0,95.0
1,Opponent1,Opponent1_M2,,1H,925.0811819999999,Duel,Ground defending duel,67.0,66.0,66.0,77.0
1,Opponent1,Opponent1_F2,,1H,944.871191,Duel,Ground defending duel,33.0,5.0,30.0,7.0
1,Huskies,Huskies_M1,,1H,948.0686109999999,Duel,Ground defending duel,70.0,93.0,70.0,84.0
1,Huskies,Huskies_D2,,1H,977.7114369999999,Duel,Ground defending duel,27.0,85.0,29.0,80.0
1,Huskies,Huskies_M2,,1H,1010.176471,Duel,Ground defending duel,23.0,29.0,16.0,32.0
1,Huskies,Huskies_D3,,1H,1011.1845000000001,Duel,Ground defending duel,16.0,32.0,23.0,67.0
1,Huskies,Huskies_M1,,1H,1014.3068499999999,Duel,Ground defending duel,23.0,67.0,22.0,82.0
1,Huskies,Huskies_F2,,1H,1035.552349,Duel,Ground defending duel,34.0,33.0,37.0,31.0
1,Opponent1,Opponent1_M2,,1H,1099.280935,Duel,Ground defending duel,28.0,93.0,28.0,100.0
1,Huskies,Huskies_D3,,1H,1179.742099,Duel,Ground defending duel,39.0,6.0,40.0,4.0
1,Huskies,Huskies_M2,,1H,1181.013195,Duel,Ground defending duel,57.0,7.0,70.0,8.0
1,Opponent1,Opponent1_F2,,1H,1187.158689,Duel,Ground defending duel,35.0,39.0,21.0,28.0
1,Opponent1,Opponent1_D1,,1H,1321.838161,Duel,Ground defending duel,31.0,6.0,27.0,8.0
1,Opponent1,Opponent1_D4,,1H,1397.8674,Duel,Ground defending duel,6.0,76.0,3.0,78.0
1,Huskies,Huskies_D2,,1H,1516.215998,Duel,Ground defending duel,27.0,9.0,24.0,0.0
1,Opponent1,Opponent1_M1,,1H,1548.211076,Duel,Ground defending duel,56.0,36.0,54.0,15.0
1,Opponent1,Opponent1_D2,,1H,1631.224294,Duel,Ground defending duel,53.0,55.0,53.0,58.0
1,Opponent1,Opponent1_M1,,1H,1642.56418,Duel,Ground defending duel,26.0,75.0,29.0,74.0
1,Opponent1,Opponent1_M3,,1H,1648.115592,Duel,Ground defending duel,33.0,76.0,32.0,78.0
